sampleID,Treatment,Initial weight (g),>6mm w/ tray (g),2-6mm w/ tray (g),.063-2mm w/ tray (g),sum w/ tray (g),final >6mm (g),fraction > 6mm,final 2-6mm (g),fraction 2-6mm,final .063-2mm (g),fraction .063-2mm,sum (g) ,<0.063mm (g),fraction <0.063mm,fraction check
T01 Q2,h,157.88,63.62,30.7,40.66,134.98,59.19,0.37,26.27,0.17,36.23,0.23,121.69,36.19,0.23,1
T01 Q3,h,95.73,46.29,17.15,25.96,89.4,41.86,0.44,12.72,0.13,21.53,0.22,76.11,19.62,0.2,1
T02 Q1,c,117.17,44.29,15.38,34.4,94.07,39.86,0.34,10.95,0.09,29.97,0.26,80.78,36.39,0.31,1
T02 Q2,c,125.33,58.55,20,29.73,108.28,54.12,0.43,15.57,0.12,25.3,0.2,94.99,30.34,0.24,1
T02 Q3,c,104.55,31.17,27.53,30.27,88.97,26.74,0.26,23.1,0.22,25.84,0.25,75.68,28.87,0.28,1
T02 Q4,c,127.29,48.7,21.2,42.42,112.32,44.27,0.35,16.77,0.13,37.99,0.3,99.03,28.26,0.22,1
T02 Q5,c,127.94,31.3,24.1,57.64,113.04,26.87,0.21,19.67,0.15,53.21,0.42,99.75,28.19,0.22,1
T03 Q1,l,130.85,47.18,22.86,45.7,115.74,42.75,0.33,18.43,0.14,41.27,0.32,102.45,28.4,0.22,1
T03 Q2,l,135.52,56.43,24.91,38.57,119.91,52,0.38,20.48,0.15,34.14,0.25,106.62,28.9,0.21,1
T03 Q3,l,151.82,48.18,27.53,60.48,136.19,43.75,0.29,23.1,0.15,56.05,0.37,122.9,28.92,0.19,1
T04 Q1,l,149.83,37.64,28.64,74.35,140.63,33.21,0.22,24.21,0.16,69.92,0.47,127.34,22.49,0.15,1
T04 Q2,l,177.65,56.79,46.17,63.61,166.57,52.36,0.29,41.74,0.23,59.18,0.33,153.28,24.37,0.14,1
T05 Q1,h,114.68,35.01,29.46,43.43,107.9,30.58,0.27,25.03,0.22,39,0.34,94.61,20.07,0.18,1
T05 Q2,h,151.71,29.79,41.95,74.83,146.57,25.36,0.17,37.52,0.25,70.4,0.46,133.28,18.43,0.12,1
T05 Q4,h,141.36,46.9,29.45,55.61,131.96,42.47,0.3,25.02,0.18,51.18,0.36,118.67,22.69,0.16,1
T06 Q1,c,117.25,39.69,18.52,47.41,105.62,35.26,0.3,14.09,0.12,42.98,0.37,92.33,24.92,0.21,1
T06 Q2,c,107.07,45.55,19.84,32.56,97.95,41.12,0.38,15.41,0.14,28.13,0.26,84.66,22.41,0.21,1
T06 Q3,c,140.3,41.47,38.29,47.49,127.25,37.04,0.26,33.86,0.24,43.06,0.31,113.96,26.34,0.19,1
T06 Q4,c,158.78,43.56,35.48,66.89,145.93,39.13,0.25,31.05,0.2,62.46,0.39,132.64,26.14,0.16,1
T06 Q5,c,161.02,45.04,37.62,70.23,152.89,40.61,0.25,33.19,0.21,65.8,0.41,139.6,21.42,0.13,1
T07 Q1,c,183.38,44.06,40.58,85.58,170.22,39.63,0.22,36.15,0.2,81.15,0.44,156.93,26.45,0.14,1
T07 Q2,c,111.93,51.8,20.51,25.79,98.1,47.37,0.42,16.08,0.14,21.36,0.19,84.81,27.12,0.24,1
T07 Q3,c,122.44,30.71,30.52,45.13,106.36,26.28,0.21,26.09,0.21,40.7,0.33,93.07,29.37,0.24,1
T07 Q4,c,131.03,30.69,23.59,65.61,119.89,26.26,0.2,19.16,0.15,61.18,0.47,106.6,24.43,0.19,1
T07 Q5,c,151.12,51.91,24.98,54.47,131.36,47.48,0.31,20.55,0.14,50.04,0.33,118.07,33.05,0.22,1
T08 Q4,l,148.34,68.26,24.31,36.34,128.91,63.83,0.43,19.88,0.13,31.91,0.22,115.62,32.72,0.22,1
T08 Q5,l,166.13,65.83,39.22,50.76,155.81,61.4,0.37,34.79,0.21,46.33,0.28,142.52,23.61,0.14,1
T09 Q1,h,159.79,63.32,30.92,44.63,138.87,58.89,0.37,26.49,0.17,40.2,0.25,125.58,34.21,0.21,1
T09 Q5,h,183.19,73.76,36.19,63.58,173.53,69.33,0.38,31.76,0.17,59.15,0.32,160.24,22.95,0.13,1
T10 Q1,l,175.53,59.22,35.38,59.55,154.15,54.79,0.31,30.95,0.18,55.12,0.31,140.86,34.67,0.2,1
T10 Q3,l,156.34,37.28,43.51,60.45,141.24,32.85,0.21,39.08,0.25,56.02,0.36,127.95,28.39,0.18,1
T10 Q4,l,173.33,53,31.75,61.04,145.79,48.57,0.28,27.32,0.16,56.61,0.33,132.5,40.83,0.24,1
T11 Q1,c,139.27,51.22,23.5,43.4,118.12,46.79,0.34,19.07,0.14,38.97,0.28,104.83,34.44,0.25,1
T11 Q2,c,140.72,66.44,20.51,34.11,121.06,62.01,0.44,16.08,0.11,29.68,0.21,107.77,32.95,0.23,1
T11 Q3,c,141.02,61.82,22.69,38.12,122.63,57.39,0.41,18.26,0.13,33.69,0.24,109.34,31.68,0.22,1
T11 Q4,c,145.13,59.17,18.96,38.85,116.98,54.74,0.38,14.53,0.1,34.42,0.24,103.69,41.44,0.29,1
T11 Q5,c,150.89,64.14,23.1,44.47,131.71,59.71,0.4,18.67,0.12,40.04,0.27,118.42,32.47,0.22,1
T12 Q1,h,156.71,47.39,32.46,65.47,145.32,42.96,0.27,28.03,0.18,61.04,0.39,132.03,24.68,0.16,1
T12 Q3,h,150.72,55.3,47.75,37.33,140.38,50.87,0.34,43.32,0.29,32.9,0.22,127.09,23.63,0.16,1
T12 Q5,h,161.02,69.46,31.74,48.2,149.4,65.03,0.4,27.31,0.17,43.77,0.27,136.11,24.91,0.15,1
T13 Q1,h,162.72,54.26,30.37,63.82,148.45,49.83,0.31,25.94,0.16,59.39,0.36,135.16,27.56,0.17,1
T13 Q2,h,176.8,44.33,45.55,74.22,164.1,39.9,0.23,41.12,0.23,69.79,0.39,150.81,25.99,0.15,1
T13 Q3,h,169.75,60.25,47.84,45.88,153.97,55.82,0.33,43.41,0.26,41.45,0.24,140.68,29.07,0.17,1
T14 Q2,l,154.7,55.54,34.02,50.12,139.68,51.11,0.33,29.59,0.19,45.69,0.3,126.39,28.31,0.18,1
T14 Q3,l,140.92,50.14,34.23,44.61,128.98,45.71,0.32,29.8,0.21,40.18,0.29,115.69,25.23,0.18,1
T14 Q4,l,154.72,48.22,36.64,63.97,148.83,43.79,0.28,32.21,0.21,59.54,0.38,135.54,19.18,0.12,1
T15 Q1,c,163.76,65.61,32.16,53.03,150.8,61.18,0.37,27.73,0.17,48.6,0.3,137.51,26.25,0.16,1
T15 Q2,c,144.04,56.89,25.24,42.94,125.07,52.46,0.36,20.81,0.14,38.51,0.27,111.78,32.26,0.22,1
T15 Q3,c,149.51,66.22,28.15,32.67,127.04,61.79,0.41,23.72,0.16,28.24,0.19,113.75,35.76,0.24,1
T15 Q4,c,170.54,56.6,37.74,54.28,148.62,52.17,0.31,33.31,0.2,49.85,0.29,135.33,35.21,0.21,1
T15 Q5,c,118.71,45.03,27.74,36.79,109.56,40.6,0.34,23.31,0.2,32.36,0.27,96.27,22.44,0.19,1
