sampleID,treatment,density (#/m^2),percent cover
T01 Q1,h,2176,100
T01 Q2,h,0,0
T01 Q3,h,16,1
T01 Q4,h,1744,100
T01 Q5,h,1648,100
T02 Q1,c,0,0
T02 Q2,c,0,0
T02 Q3,c,0,0
T02 Q4,c,0,0
T02 Q5,c,0,0
T03 Q1,l,0,0
T03 Q2,l,0,0
T03 Q3,l,0,0
T03 Q4,l,1120,100
T03 Q5,l,1200,100
T04 Q1,l,0,0
T04 Q2,l,0,0
T04 Q3,l,736,40
T04 Q4,l,768,50
T04 Q5,l,864,30
T05 Q1,h,0,0
T05 Q2,h,0,0
T05 Q3,h,704,30
T05 Q4,h,0,0
T05 Q5,h,1520,80
T06 Q1,c,0,0
T06 Q2,c,0,0
T06 Q3,c,0,0
T06 Q4,c,0,0
T06 Q5,c,0,0
T07 Q1,c,0,0
T07 Q2,c,0,0
T07 Q3,c,0,0
T07 Q4,c,0,0
T07 Q5,c,0,0
T08 Q1,l,720,95
T08 Q2,l,288,15
T08 Q3,l,816,85
T08 Q4,l,16,1
T08 Q5,l,0,0
T09 Q1,h,0,0
T09 Q2,h,1424,85
T09 Q3,h,1152,100
T09 Q4,h,1168,80
T09 Q5,h,112,2
T10 Q1,l,0,0
T10 Q2,l,448,60
T10 Q3,l,0,0
T10 Q4,l,0,0
T10 Q5,l,0,0
T11 Q1,c,0,0
T11 Q2,c,1072,70
T11 Q3,c,0,0
T11 Q4,c,0,0
T11 Q5,c,0,0
T12 Q1,h,0,0
T12 Q2,h,1360,75
T12 Q3,h,0,0
T12 Q4,h,1104,100
T12 Q5,h,0,0
T13 Q1,h,0,0
T13 Q2,h,0,0
T13 Q3,h,16,1
T13 Q4,h,864,85
T13 Q5,h,1424,100
T14 Q1,l,1200,80
T14 Q2,l,0,0
T14 Q3,l,0,0
T14 Q4,l,192,15
T14 Q5,l,736,45
T15 Q1,c,32,1
T15 Q2,c,0,0
T15 Q3,c,0,0
T15 Q4,c,0,0
T15 Q5,c,0,0
